identifier,desc,unit,costAUD
586e0bd4-a84c-4c39-a696-1fafdf85e5bb,Suspended Slab Formwork per m2,m2,23.59
e1b3e145-782b-43b3-a081-f3634a07db00,TM3 R11 Mesh,m2,83.99
812c8fe8-7575-474e-bd6d-0be13e72fa0a,Under Slab Pest Control (LM + Penetrations),lm,300
0edbbcf2-e61a-4f86-a9a7-34c94637b8cf,Under Slab Sand 100mm,m2,83.5
0a360e10-4e35-4e94-bd80-2e8bd6c749f1,Under Slab Sand 150mm,m2,77.24
45b0527b-5a8c-464c-9b93-b70629def248,Under Slab Sand 50mm,m2,66.3
fbc8b766-e734-4511-91ae-18b075ff19e5,N12 Reo Bar,lm,50
b6e3ec90-c008-4d67-b2b2-1904bef08eb6,Plastic Membrane,m2,10.5
94884242-19ee-444a-880d-eafccdb47fe8,Precast Concrete Pad,m2,83.996
7f3c48c4-f8b6-453f-b2fa-83ec31dfa85c,Bobcat to Dig LM of Strip Footing,lm,800
